train_no,train_name,source,destination,arival_time,fare
12723,Andhra Pradesh Express,Hyderabad Decan,New Delhi,22:30,2000.3
22416,Andhra Pradesh Express,New Delhi,Vishakapatnam,23:30,500.2
12724,Andhra Pradesh Express,New Delhi,Hyderabad Decan,00:30,1001.2
12707,Andhra Pradesh Sampark Kranti,Tirupati,H Nizamuddin,01:30,1500.9
15909,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction,02:30,1600.3
18242,Abkp Durg Passenger E,Ambikapur,Durg,22:30,700.5
11266,Abkp Jbp Express,Ambikapur,Jabalpur,23:30,700.7
58702,Abkp Sdl Passenger,Ambikapur,Shahdol,00:30,2000.3
54703,Abs Ju Passengr,Abohar,Jodhpur Junction,01:30,500.2
7509,Adb Qln Special,Adilabad,Kollam Junction,02:30,1001.2
9416,Adi Madgaon Special,Ahmedabad Junction,Madgaon,22:30,1500.9
19417,Adi Ald Express,Ahmedabad Junction,Allahabad Junction,22:30,1600.3
9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction,23:30,700.5
9018,Adi Bct Ac Special,Ahmedabad Junction,Mumbai Central,00:30,700.7
14804,Adi Bgkt Express,Ahmedabad Junction,Bhagat Ki Kothi,01:30,2000.3
4804,Adi Bgkt Special,Ahmedabad Junction,Bhagat Ki Kothi,02:30,500.2
9421,Adi Bme Ac Special,Ahmedabad Junction,Barmer,22:30,2000.3
19130,Adi Brc Intercity,Ahmedabad Junction,Vadodara Junction,23:30,500.2
2713,Adi Bza Superfast Special,Ahmedabad Junction,Vijayawada Junction,00:30,1001.2
19420,Adi Chennai Express,Ahmedabad Junction,Chennai Central,01:30,1500.9
9417,Adi Dee Premium,Ahmedabad Junction,Delhi S Rohilla,02:30,1600.3
12931,Adi Double Deck,Mumbai Central,Ahmedabad Junction,22:30,700.5
12267,Adi Duronto Express,Mumbai Central,Ahmedabad Junction,22:30,700.7
12298,Adi Duronto Express,Pune Junction,Ahmedabad Junction,23:30,2000.3
9425,Adi Jaipur Special,Ahmedabad Junction,Jaipur,00:30,500.2
19223,Adi Jat Express,Ahmedabad Junction,Jammu Tawi,01:30,1001.2
19606,Adi Koaa Express,Ahmedabad Junction,Kolkata,02:30,1500.9
19401,Adi Lucknow Express,Ahmedabad Junction,Lucknow Nr,22:30,2000.3
9413,Adi Lucknow Special,Ahmedabad Junction,Lucknow Nr,22:30,500.2
9420,Adi Majn Superfast Special,Ahmedabad Junction,Mangalore Junction,23:30,1001.2
9411,Adi Patna Special,Ahmedabad Junction,Patna Junction,00:30,1500.9
19421,Adi Pnbe Express,Ahmedabad Junction,Patna Junction,01:30,1600.3
18406,Adi Puri Express,Ahmedabad Junction,Puri,02:30,2000.3
12844,Adi Puri Express,Ahmedabad Junction,Puri,22:30,500.2
7017,Adi Sc Premium,Ahmedabad Junction,Secunderabad Junction,23:30,1001.2
12958,Adi Sj Rajdhani,New Delhi,Ahmedabad Junction,00:30,1500.9
19415,Adi Svdk Express,Ahmedabad Junction,Shmata V D Ktra,01:30,1600.3
19944,Adi Udz Express,Ahmedabad Mg,Udaipur City,02:30,700.5
19407,Adi Varanasi Express,Ahmedabad Junction,Varanasi Junction,22:30,700.7
16501,Adi Ypr Express,Ahmedabad Junction,Yesvantpur Junction,22:30,2000.3
12547,Af Adi Superfast Express,Agra Fort,Ahmedabad Junction,23:30,500.2
12195,Af Aii Intercity,Agra Fort,Ajmer Junction,00:30,1001.2
9612,Af Aii Special,Agra Fort,Ajmer Junction,01:30,1500.9
