id,seat1,seat2,seat3,seat4,seat5,seat6,seat7,seat8,seat9,seat10,sid_id
1,60,60,60,60,60,60,60,60,60,60,12723
2,60,60,60,60,60,60,60,60,60,60,22416
3,60,60,60,60,60,60,60,60,60,60,12724
4,60,60,60,60,60,60,60,60,60,60,12707
5,60,60,60,60,60,60,60,60,60,60,15909
6,60,60,60,60,60,60,60,60,60,60,18242
7,60,60,60,60,60,60,60,60,60,60,11266
8,60,60,60,60,60,60,60,60,60,60,58702
9,60,60,60,60,60,60,60,60,60,60,54703
10,60,60,60,60,60,60,60,60,60,60,7509
11,60,60,60,60,60,60,60,60,60,60,9416
12,60,60,60,60,60,60,60,60,60,60,19417
13,60,60,60,60,60,60,60,60,60,60,9427
14,60,60,60,60,60,60,60,60,60,60,9018
15,60,60,60,60,60,60,60,60,60,60,14804
16,60,60,60,60,60,60,60,60,60,60,4804
17,60,60,60,60,60,60,60,60,60,60,9421
18,60,60,60,60,60,60,60,60,60,60,19130
19,60,60,60,60,60,60,60,60,60,60,2713
20,60,60,60,60,60,60,60,60,60,60,19420
21,60,60,60,60,60,60,60,60,60,60,9417
22,60,60,60,60,60,60,60,60,60,60,12931
23,60,60,60,60,60,60,60,60,60,60,12267
24,60,60,60,60,60,60,60,60,60,60,12298
25,60,60,60,60,60,60,60,60,60,60,9425
26,60,60,60,60,60,60,60,60,60,60,19223
27,60,60,60,60,60,60,60,60,60,60,19606
28,60,60,60,60,60,60,60,60,60,60,19401
29,60,60,60,60,60,60,60,60,60,60,9413
30,60,60,60,60,60,60,60,60,60,60,9420
31,60,60,60,60,60,60,60,60,60,60,9411
32,60,60,60,60,60,60,60,60,60,60,19421
33,60,60,60,60,60,60,60,60,60,60,18406
34,60,60,60,60,60,60,60,60,60,60,12844
35,60,60,60,60,60,60,60,60,60,60,7017
36,60,60,60,60,60,60,60,60,60,60,12958
37,60,60,60,60,60,60,60,60,60,60,19415
38,60,60,60,60,60,60,60,60,60,60,19944
39,60,60,60,60,60,60,60,60,60,60,19407
40,60,60,60,60,60,60,60,60,60,60,16501
41,60,60,60,60,60,60,60,60,60,60,12547
42,60,60,60,60,60,60,60,60,60,60,12195
43,60,60,60,60,60,60,60,60,60,60,9612
44,60,60,60,60,60,60,60,60,60,60,12036
45,60,60,60,60,60,60,60,60,60,60,15055
46,60,60,60,60,60,60,60,60,60,60,12954
47,60,60,60,60,60,60,60,60,60,60,12320
48,60,60,60,60,60,60,60,60,60,60,13168
49,60,60,60,60,60,60,60,60,60,60,1436
50,60,60,60,60,60,60,60,60,60,60,12342
51,60,60,60,60,60,60,60,60,60,60,12341
52,60,60,60,60,60,60,60,60,60,60,12548
53,60,60,60,60,60,60,60,60,60,60,52575
54,60,60,60,60,60,60,60,60,60,60,22645
55,60,60,60,60,60,60,60,60,60,60,22646
56,60,60,60,60,60,60,60,60,60,60,11095
57,60,60,60,60,60,60,60,60,60,60,11096
58,60,60,60,60,60,60,60,60,60,60,16502
59,60,60,60,60,60,60,60,60,60,60,59439
60,60,60,60,60,60,60,60,60,60,60,59440
61,60,60,60,60,60,60,60,60,60,60,19405
62,60,60,60,60,60,60,60,60,60,60,11050
63,60,60,60,60,60,60,60,60,60,60,59441
64,60,60,60,60,60,60,60,60,60,60,59442
65,60,60,60,60,60,60,60,60,60,60,9649
66,60,60,60,60,60,60,60,60,60,60,12196
67,60,60,60,60,60,60,60,60,60,60,5712
68,60,60,60,60,60,60,60,60,60,60,22996
69,60,60,60,60,60,60,60,60,60,60,9611
70,60,60,60,60,60,60,60,60,60,60,9619
71,60,60,60,60,60,60,60,60,60,60,9602
72,60,60,60,60,60,60,60,60,60,60,9601
73,60,60,60,60,60,60,60,60,60,60,13424
74,60,60,60,60,60,60,60,60,60,60,5286
75,60,60,60,60,60,60,60,60,60,60,12983
76,60,60,60,60,60,60,60,60,60,60,5104
77,60,60,60,60,60,60,60,60,60,60,5238
78,60,60,60,60,60,60,60,60,60,60,12990
79,60,60,60,60,60,60,60,60,60,60,9627
80,60,60,60,60,60,60,60,60,60,60,4042
81,60,60,60,60,60,60,60,60,60,60,18208
82,60,60,60,60,60,60,60,60,60,60,19609
83,60,60,60,60,60,60,60,60,60,60,9640
84,60,60,60,60,60,60,60,60,60,60,3002
85,60,60,60,60,60,60,60,60,60,60,17019
86,60,60,60,60,60,60,60,60,60,60,12719
87,60,60,60,60,60,60,60,60,60,60,7126
88,60,60,60,60,60,60,60,60,60,60,7019
89,60,60,60,60,60,60,60,60,60,60,9312
90,60,60,60,60,60,60,60,60,60,60,12066
91,60,60,60,60,60,60,60,60,60,60,12413
92,60,60,60,60,60,60,60,60,60,60,9621
93,60,60,60,60,60,60,60,60,60,60,9625
94,60,60,60,60,60,60,60,60,60,60,54802
95,60,60,60,60,60,60,60,60,60,60,7130
96,60,60,60,60,60,60,60,60,60,60,3138
97,60,60,60,60,60,60,60,60,60,60,19608
98,60,60,60,60,60,60,60,60,60,60,16209
99,60,60,60,60,60,60,60,60,60,60,22211
100,60,60,60,60,60,60,60,60,60,60,18422
